"",,Days Since Install
Install Date,Cohort Size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
03/22/15,683.0,32.5%,24.45%,17.57%,16.98%,14.79%,14.79%,11.71%,10.69%,9.22%,8.49%,9.96%,8.2%,8.2%,8.35%,8.49%,6.73%,7.03%,6.15%,5.71%,5.71%,6.3%,4.39%,5.71%,4.83%,5.12%,4.69%,4.25%,6%,3.22%
03/21/15,769.0,35.37%,25.62%,18.86%,16.25%,14.82%,13.39%,15.73%,11.7%,11.05%,9.75%,8.45%,7.54%,8.45%,9.1%,8.19%,8.06%,7.54%,7.02%,6.76%,6.89%,7.54%,5.85%,5.46%,4.68%,5.2%,3.9%,4.16%,5.46%,4.29%
03/20/15,819.0,37.36%,25.52%,21%,16.61%,15.75%,12.45%,12.7%,13.06%,11.48%,9.52%,9.16%,8.67%,7.69%,8.91%,7.81%,7.57%,7.69%,7.69%,7.08%,5.86%,6.11%,6.11%,5.25%,6.11%,5.74%,5.37%,6.11%,4.76%,5.49%
03/19/15,1232.0,40.02%,27.44%,22.65%,19.56%,15.83%,15.91%,12.5%,12.66%,12.66%,11.28%,10.88%,9.9%,9.74%,8.36%,7.95%,8.04%,7.22%,7.55%,7.79%,7.55%,6.33%,7.06%,6.25%,5.36%,6.01%,6.57%,5.36%,4.95%,5.68%
03/18/15,1476.0,41.33%,28.52%,22.9%,18.77%,18.09%,15.11%,14.84%,13.62%,12.6%,12.2%,12.4%,11.04%,10.3%,9.96%,9.76%,8.94%,8.33%,7.79%,8.06%,8.2%,7.59%,7.59%,7.38%,6.1%,6.44%,6.84%,6.17%,5.83%,5.35%
03/17/15,1627.0,39.09%,27.97%,21.14%,19.05%,16.9%,14.63%,13.21%,13.09%,12.48%,11.99%,11.37%,11.06%,10.26%,10.02%,9.16%,9.04%,8.36%,8.73%,8.17%,8.48%,7.87%,9.16%,8.17%,7.74%,7.5%,7.56%,7.01%,5.96%,6.27%
03/16/15,1169.0,41.49%,27.72%,23.35%,16.51%,19.5%,16.08%,16.08%,12.83%,10.61%,10.27%,10.86%,9.84%,11.46%,8.81%,9.24%,8.73%,8.81%,8.3%,7.61%,7.27%,7.78%,7.1%,7.01%,6.5%,6.59%,7.36%,6.76%,5.99%,7.44%
03/15/15,1008.0,37.2%,26.69%,22.52%,19.74%,16.67%,16.67%,13.99%,12.5%,11.31%,10.52%,10.42%,10.22%,9.52%,10.32%,8.43%,8.93%,5.95%,7.54%,7.24%,7.94%,6.55%,7.24%,7.44%,5.85%,5.36%,5.56%,4.46%,5.56%,4.76%
03/14/15,938.0,37.42%,25.48%,19.19%,16.84%,15.46%,14.93%,14.18%,11.19%,10.02%,9.38%,9.28%,9.38%,8.42%,8%,8.32%,8.32%,8.21%,6.4%,5.97%,6.93%,6.08%,5.54%,5.86%,6.08%,5.12%,4.9%,5.65%,5.12%,5.65%
03/13/15,673.0,39.97%,27.34%,22.44%,19.32%,17.09%,16.2%,14.41%,12.48%,12.78%,10.85%,9.96%,10.55%,8.32%,7.73%,6.39%,7.88%,7.58%,8.77%,7.88%,6.54%,6.69%,5.05%,6.09%,6.69%,6.09%,5.5%,5.2%,5.35%,5.5%
03/12/15,627.0,38.28%,26.79%,21.53%,18.02%,16.11%,13.72%,13.72%,12.12%,9.89%,11%,9.89%,8.45%,9.25%,7.02%,7.66%,8.45%,5.74%,6.54%,7.5%,6.06%,6.86%,6.54%,5.1%,5.58%,4.63%,5.58%,6.22%,5.9%,5.1%
03/11/15,608.0,39.97%,28.95%,24.01%,19.41%,18.75%,15.95%,14.97%,14.14%,13.16%,11.18%,11.84%,10.53%,10.2%,8.22%,9.38%,7.57%,7.73%,8.72%,8.55%,7.89%,7.4%,7.73%,6.25%,6.41%,7.07%,6.09%,6.58%,5.43%,5.92%
03/10/15,729.0,40.74%,25.24%,22.09%,18.11%,18.11%,13.72%,12.48%,13.17%,10.29%,11.39%,9.6%,10.01%,8.78%,9.19%,8.78%,8.09%,7.13%,6.72%,8.09%,7.68%,6.72%,5.62%,4.8%,5.62%,5.35%,6.17%,5.9%,6.17%,5.35%
03/09/15,791.0,42.6%,29.2%,24.15%,19.72%,16.56%,14.92%,11.63%,12.9%,12.52%,10.24%,9.36%,9.1%,9.36%,7.96%,8.34%,8.22%,7.33%,6.7%,7.96%,6.95%,6.7%,6.07%,6.45%,6.32%,4.8%,4.8%,5.18%,5.44%,4.17%
03/08/15,893.0,36.95%,26.65%,22.73%,17.92%,16.35%,15.79%,14.67%,13.77%,12.09%,10.19%,10.53%,10.64%,10.97%,10.19%,8.17%,7.73%,8.17%,7.95%,8.06%,7.05%,7.39%,6.38%,5.71%,7.05%,7.5%,6.83%,6.27%,5.82%,5.82%
03/07/15,1107.0,40.38%,26.65%,21.68%,19.42%,17.07%,15.54%,15.72%,13.73%,10.48%,11.92%,10.21%,10.75%,8.58%,9.76%,10.21%,8.67%,8.22%,8.67%,7.14%,7.68%,7.32%,8.31%,7.05%,6.78%,5.87%,5.33%,5.6%,6.14%,6.41%
03/06/15,1523.0,41.5%,28.37%,23.31%,20.62%,17.2%,16.48%,15.56%,14.25%,13.66%,12.41%,12.67%,11.62%,11.1%,11.1%,10.77%,10.44%,9.52%,9%,8.86%,8.6%,8.67%,8.4%,9%,8.01%,7.75%,7.22%,7.29%,7.09%,5.91%
