"",,Days Since Install
Install Date,Cohort Size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
03/05/15,120.0,43.33%,39.17%,28.33%,23.33%,26.67%,22.5%,19.17%,15%,16.67%,13.33%,8.33%,13.33%,11.67%,10%,6.67%,6.67%,5%,5%,5.83%,5.83%,5%,2.5%,4.17%,3.33%,5.83%,2.5%,3.33%,5%,2.5%
03/04/15,110.0,45.45%,32.73%,27.27%,20.91%,22.73%,23.64%,19.09%,16.36%,16.36%,12.73%,11.82%,15.45%,13.64%,11.82%,12.73%,10.91%,10.91%,9.09%,9.09%,10%,8.18%,8.18%,8.18%,5.45%,5.45%,6.36%,4.55%,5.45%,7.27%
03/03/15,100.0,47%,37%,35%,28%,25%,19%,18%,16%,16%,18%,12%,7%,9%,6%,6%,3%,4%,8%,6%,7%,6%,4%,3%,5%,2%,1%,6%,3%,2%
03/02/15,143.0,43.36%,33.57%,29.37%,26.57%,27.97%,25.17%,22.38%,16.08%,21.68%,13.29%,16.78%,13.99%,11.89%,13.29%,9.79%,11.19%,11.89%,9.09%,12.59%,12.59%,9.79%,6.29%,11.19%,12.59%,6.99%,5.59%,6.29%,6.29%,6.29%
03/01/15,148.0,47.97%,27.7%,27.7%,20.95%,21.62%,14.19%,14.19%,14.19%,13.51%,10.81%,10.14%,8.78%,10.14%,7.43%,7.43%,10.81%,8.78%,6.76%,7.43%,7.43%,6.76%,8.11%,8.78%,4.73%,8.78%,6.08%,4.73%,6.76%,4.73%
02/28/15,149.0,43.62%,29.53%,19.46%,18.12%,20.81%,20.13%,16.78%,9.4%,10.74%,11.41%,8.72%,7.38%,8.72%,5.37%,5.37%,6.04%,10.07%,8.72%,6.71%,5.37%,6.04%,6.71%,2.68%,4.03%,6.04%,6.04%,4.7%,3.36%,4.7%
02/27/15,135.0,38.52%,25.19%,20.74%,17.04%,17.04%,14.07%,11.85%,11.85%,8.15%,10.37%,6.67%,8.15%,6.67%,8.15%,9.63%,5.93%,5.93%,6.67%,8.89%,5.19%,5.19%,5.19%,4.44%,5.19%,2.96%,2.96%,3.7%,2.22%,4.44%
02/26/15,140.0,46.43%,30.71%,27.14%,19.29%,23.57%,19.29%,22.14%,16.43%,14.29%,12.86%,11.43%,11.43%,13.57%,10%,10.71%,11.43%,7.14%,8.57%,7.14%,8.57%,7.86%,7.86%,5.71%,7.86%,7.86%,5%,8.57%,5.71%,6.43%
02/25/15,113.0,42.48%,32.74%,28.32%,27.43%,24.78%,23.01%,21.24%,21.24%,13.27%,16.81%,15.04%,13.27%,8.85%,13.27%,6.19%,7.96%,11.5%,7.08%,8.85%,5.31%,7.96%,7.08%,7.96%,7.96%,7.96%,6.19%,8.85%,2.65%,5.31%
02/24/15,123.0,43.09%,28.46%,25.2%,25.2%,21.14%,18.7%,17.07%,8.13%,12.2%,13.82%,12.2%,11.38%,8.13%,8.13%,8.13%,5.69%,4.88%,8.94%,4.07%,5.69%,4.07%,7.32%,4.07%,5.69%,3.25%,4.07%,3.25%,4.88%,2.44%
02/23/15,192.0,38.02%,29.69%,22.4%,17.71%,16.15%,14.06%,14.06%,13.02%,10.42%,10.94%,9.38%,10.94%,9.38%,9.9%,8.85%,8.33%,5.21%,7.81%,4.69%,4.17%,6.25%,5.73%,5.73%,5.21%,4.17%,2.6%,2.6%,4.17%,2.6%
